此版簡化主要涉及
1. 部件重複而其重複不影響含義的，去掉重複的部分
2. 甲骨以後在篆書分化的部件，作爲其它字部分時，採用較簡單的（如在其它字中作爲部件時「糸>幺」）
3. 繁化時可有可無的部件
5. 鳥獸重新擬定隸變
未涉及的簡化
1. 左右重複，有兩種簡化策略：可以縮合書寫縱向的筆畫（公式：2xN>N+1），或者可以參考草書簡寫
2. 多次重複書寫，可加漢字數字表示（如「龖>⿰二龍」）
2. 鳥獸足以「一」表示
3. 簡化「目、貝、見」等形

以下是部件分類（方向符號↺↶↷↔↕指示符號↓分數符號½⅓）
*衍生字
!構型不明
-----身體和器官-----
乃	4E43	乳房，一說繩索
九	4E5D	手肘
冎	518E	骨頭
卵	5375	卵
又	53C8	手
*⺽	2EBD	⿰↺又↕又
*丑	4E11	〾又，手有指甲
*厷	53B7	⿹又↓，肱，手臂
*叉	53C9	⿻又↓，手指相交錯
*史	53F2	⿱?又，含義不明，分化有「吏、事」等字
*寸	5BF8	⿹又↓，含義不明，來源一爲「尊」省，二爲「又」變，三爲「肘」
*尤	5C24	⿻又↓，肬
*尹	5C39	⿻又{棍或筆}，治理，「尹聿」一字之分化
*廾	5EFE	⿰↔又又
**共	5171	⿴廾{方塊}，供的意思
*攴	6534	⿱{棍或鞭子}又，擊打，分化變形爲「攵」
*术	672F	⿻又{米}，秫
*殳	6BB3	⿱{錘子}又，一種鎚擊兵器
**殷	6BB7	⿱{人肚子被打}殳
*爪	722A	↶又
*聿	807F	⿻又{筆刷子}，治理，「尹聿」一字之分化
*舁	8201	⿱⺽廾
*𠂇	20087	↔又，左手
口	53E3	嘴，也可以象形器皿
*亼	4EBC	↺口
**今	4ECA	⿱亼{舌頭或指示}，即吟
*品	54C1	⿱口⿰口口，三個器皿
*喦	55A6	⿳口⿰口口{連線}，多言
*曰	66F0	⿱↓口
*舌	820C	⿱{伸出的舌頭}口，舌頭，象形
**言	8A00	「舌」分化，言語
***音	97F3	「言」分化
*⿱吅吅	-	⿱⿰口口⿰口口，喧鬧
囟	56DF	小孩顱骨還未合的頭
尺	5C3A	手丈量
彡	5F61	頭髮、紋飾
心	5FC3	心
手	624B	手
甘	67D0	舌頭
止	6B62	腳
*㐄	3404	↕止，Unicode21552之訛
*之	4E4B	⿱止一，腳向前走
**帀	5E00	↺之
*夊	590A	↺止
*舛	821B	⿰↺止↕止
*足	8DB3	〾止，足，「足疋」一字之分化
**疋	758B	「足」分化
歺	6B7A	殘骨
毛	6BDB	毛
牙	7259	牙
*与	4E0E	「牙」分化，表聲字
*互	4E92	「牙」分化，表聲字
白	767D	大拇指
目	76EE	眼睛
羽	7FBD	羽毛
肉	8089	肉
自	81EA	鼻子
臣	81E3	立目
角	89D2	獸角
釆	91C6	獸爪
革	9769	皮革
首	9996	人頭
*頁	9801	⿱{「首」不帶頭髮}人，人頭
-----抽象事物-----
〇	3007	圓
㒳	34B3	兩個
*!㒼	34BC	含義不明
㠯	382F	一坨東西或一包東西
一	4E00	一；又象形大地或指示用
*上	4E0A	⿱↓一，上方
*下	4E0B	⿱一↓，下方
三	4E09	三
!丸	4E38	小球形的物體
二	4E8C	二；又象形天地
十	5341	十
*卅	5345	⿲十十十
*卌	534C	⿰⿰十十⿰十十
曲	66F2	彎曲
?	20082	終，象繩子兩端，「冬」的上半部分，「終」的古字
-----狀態和行為-----
七	4E03	切
丩	4E29	糾纏
丫	4E2B	分岔，應該是後起
串	4E32	貫連
乍	4E4D	勞作，象形以刀砍木
!乖	4E56	違背、背離
于	4E8E	吹氣
*亏	4E8F	「于」分化
入	5165	進入
八	516B	分別；吹氣，氣息
*兮	516E	⿱八?，象聲
**乎	4E4E	「兮」分化
冓	5193	相遇
*再	518D	½冓，再次
小	5C0F	小
*少	5C11	⿱小{點}，少
回	56DE	回環旋轉
*亘	4E98	「回」分化
爻	723B	交錯
飛	98DB	飛
*卂	5342	「飛」省，迅
-----自然事物-----
丘	4E18	小山
云	4E91	雲
凵	51F5	坎
*凶	51F6	⿶凵{東西}，凶，象形落入「凵」中
山	5C71	山
川	5DDD	流水，分化作「巛」
*巜	5DDC	⅔川
*州	5DDE	〾川{河中有州}
*⿻⅓川{兩塊田地}	223DA	⿻⅓川{兩塊田地}，疇，某種田地，此爲「壽」的聲首
日	65E5	太陽
月	6708	月亮
*夕	5915	〾月
气	6C14	气，分化爲「乞」
泉	6CC9	⿱{泉眼}{水滴}，泉水
申	7533	閃電
*雷	96F7	⿻申{一些「口/田/水」之類的}雷聲
穴	7A74	洞穴
西	897F	鳥巢
谷	8C37	山谷
阜	961C	高地
*𠂤	200A4	小土丘
雨	96E8	雨
-----家具和生活事物-----
㐁	3401	簟席
丌	4E0C	基座
井	4E95	井
傘	5098	傘
其	5176	簸箕，下方「丌」注音
冊	518A	書
几	51E0	用來倚靠身體的几案
囪	56EA	煙囪
帚	5E1A	掃帚
束	675F	兩頭用繩索扎住袋子
東	6771	兩頭紮緊的苞囊
*叀	53C0	一頭紮緊的苞囊
爾	723E	三足的絡絲架
門	9580	門
*戶	9580	½門，門戶
-----文化和宗教事物-----
丵	4E35	某種頭飾或器具
噩	5669	喪事，「咢」亦從此，從「喪」形，而「喪」由聲「桑」加「亡」和數個「口」構成
示	793A	神主牌位
*主	4E3B	「示」分化
章	7AE0	璋/彰
-----服飾-----
冖	5196	覆蓋、帽子
*冃	5183	「冖」分化，帽子
囗	56D7	城牆
巾	5DFE	佩巾
*㡀	3840	⿻巾{幾個點}，破衣服
巿	5DFF	蓋於衣裳上的服飾
帶	5E36	衣帶
弁	5F01	⿱{帽子}廾，古文「㝸」
衣	8863	衣服
*勞	52DE	⿻衣{幾個點}，縫衣過程中
*衣	5352	⿻衣↓，縫衣完成
-----建築-----
宀	5B80	房屋
广	5E7F	房屋
*廛	5EDB	⿸广⿱?土，平民一家所居的房地，構形不明
宁	5B81	貯
*㐭	342D	⿱宀⿰{兩堆東西}，粮仓
亞	4E9E	某種建築佈局
余	4F59	茅舍
⿱亠口	-	臺塔類建築，這是從下面幾個字拆分的部件
*京	4EAC	⿳亠口{三個豎線，即柱子}，高台
*亯	4EAF	⿳亠口〇，用于祭享的建築，後分化「亨、享」字
-----材料和物質-----
!丹	4E39	硃砂，一說象形井中一點，即採硃砂礦的井
仌	4ECC	冰
呂	5442	某種金屬
*予	4E88	「呂」分化，取其聲
土	571F	土
幺	5E7A	絲
*!幻	5E7B	⿰幺{伸出來的絲線}
*糸	7CF8	細絲，「幺」分化
*絲	7D72	⿰糸糸，絲
*〾⿰幺幺	-	⿰幺幺上方相連，生「䜌、聯」等字
气	6C14	氣
*乞	4E5E	「气」分化
水	6C34	水，又作「氺」
*?	23D92	〾水，洄流水、深淵，即「淵」字右側部分
火	706B	火
玉	7389	玉
*丯	4E2F	「玉」分化
石	77F3	石頭
*厂	5382	〾石，崖
*!匹	5339	⿸石乙
-----人-----
人	4EBA	人
*介	4ECB	⿻人{四個點}，介于、在中間
*儿	513F	「人」變形的部件
*元	5143	⿱人↓，人頭
**兀	5140	「元」分化
*允	5141	〾人，象形人有個空心的頭，含義不明
*兒	5152	⿱{小儿头囟未合}人，嬰兒
*!冘	5198	⿻人?
*勹	52F9	〾人，包裹，象形人蜷曲包裹，「包」即「⿴勹子」
*北	5317	⿰人↔人，背，象形兩人相背
*夃	5903	⿰人↓，股
*!失	5931	⿻人?
*⿱{頭飾}人	-	「微」字中間的結構，「美」分化
*欠	6B20	⿱{嘴張著吹氣}人，人張口吹氣
**旡	65E1	↔欠
*皃	7683	⿱{大頭}人，人面
**兜	515C	⿴{頭盔}皃，兜鍪，一種頭盔
*𠤎	2090E	↺人
*⿱?矢	20915	⿱{抬頭}人，疑惑，即疑左側部分
*?	2B824	〾人，遊玩
卩	5369	跪坐的人，變形可作「㔾」
*丮	4E2E	⿻⿰手手卩，跪坐的人伸出雙手
**鬥	9B25	⿰↔丮丮，兩人相鬥
*?	20A0D	⿰↔卩卩
大	5927	大人
*㚒	3692	⿻大⿰{腋下兩個東西}，腋下藏物
*!亢	4EA2	⿵大↓
*交	4EA4	〾大，交叉，象形人雙腿交錯
*亦	4EA6	⿻大⿰↓↓，腋
