# 本表聲旁及轄字無重覆
# 少量轄字的聲化字的附屬字()標示
# 特殊情況用[]標示
𦥑	⺽䳔閰𦥑
〇	〇
㐁	㐁䄼䇧
㐄	㐄
㐬	㐬㲙䖻旒橀毓流(瑬蓅鎏𠺩)琉硫裗酼(醯)鋶锍麍
㐭	㐭顲
禀	凛廪(䕲)懔檩燷癝禀𪷤
稟	凜壈廩(𤃢𤒢𦢵)懍檁澟燣癛稟𡗋𢀮𢶸𣱭𤢤𤯑𥋶𦡣𨮍𩆐𩇆𩼤
㐱	㐱䂦䑐䝩䪾抮昣殄(餮)沴珍(𠗰𣹗)畛疹眕紾聄胗袗診诊趁(𦼛𦼜)跈軫(𤺋)轸鉁飻駗𠃩𠱉𤇪𤒙
㒸	㒸㥞㴚䃍䠔䯟煫𦂁
隊	䉌䔹䥙墜鐆隊𠾕𡑖𡡦𢢊𢵌𣾶𤏢𥖐𦅭𦠵𧥃𨅷
队	坠队
㒼	㒼㙢㨺䊟䐽䝡䤍慲暪樠璊瞞(𤃞)蟎襔蹣鏋顢鬗𡠪𤡁
𬜯	瞒螨蹒颟𫞩𬜯
滿	懣滿𡒗𤅎𤾯𩯮
满	懑满
満	満𢡛
㓞	㓞㛃㸷㼤䂮恝(瘛)挈(㮮䤿𢹫)栔洯蛪觢齧(䥹囓)𢹫𪘂
契	㓶㝣䚉䝟䦬䫔䱮偰喫契揳楔猰瘈碶禊稧窫葜褉鍥锲𢝛𤋸𩴅
絜	䐼䥛噄潔絜緳𡐤𤏦
㓹	㓹罽(瀱蘮)
釞	釞
㔷	㔷陋
[己]	圮妃
配	嶏蓜配
肥	䈈俷淝肥萉蜰𤷂
㕞	㕞
刷	刷唰涮𤷯
㕟	㕟䈛
蒯	蒯
䓒	䓒
㕡	㕡壑
㕢	㕢䪥
韰	㒠瀣薤韰
㕣	㔯㕣㫟䛇兗(渷)沿船鉛铅
[公]	㳂兖(萒)舩鈆
袞	䙛滾(𡁺)蔉袞𠽓𥐐𥕦𦄣𨎊
衮	㙥㨰䜇滚磙蓘衮𨍽
㕦	㕦鋘
㗊	㗊
㘝	㘝笝𣲷𥹉
㚅	㚅湰
隆	㝫㦕䃧嶐漋癃窿隆霳鿧𠾐
䥢	䥢
㚇	㚇㣭㨑䁓䈦䍟䎫堫嵏嵕惾朡椶猣稯糉緵翪艐葼蝬鍐騣鬉鬷鯼𥊙𩋯
[⿳⿶凵⿳丶⿲丶乂丶丶儿夊]	㯶糭鑁
㚒	㚒㣣㪎陝鿃
[夹]	陕
㚔	㚔
㚘	㚘
㝵	㕌㝵㝶㥂㧹䅞䎪䙷䙸䚟得(嘚𡐙𥊤)棏淂碍(𠿴𢣀𦡡)鍀锝𠊚𠊛𠵨𣈗𣈜𤊢𥇹𥋹𧍋𪖭
㞋	㞋赧
赧	赧𠼶
㫱	㫱㬄
㼱	㼱
