㓹	㓹罽(瀱蘮)
釞	釞
㕟	㕟䈛
蒯	蒯
䓒	䓒
㕦	㕦鋘
㗊	㗊
㘝	㘝笝𣲷𥹉
㞋	㞋赧(𠼶)
㫱	㫱㬄
㼱	㼱
㡲	㡲
㣇	㣇㣈
㫐	㞁㫐䆞梎
窅	㴭窅
㶣	㶣烎苂覝
㳭	㳭
㸚	㸚
㼌	㼌寙窳
㿟	㿟
䚻	㑾㨱䌛(邎)䚻
䖜	䖜
䡓	䡓
䨳	䨳
䭆	䭆
䭴	䭴
䲜	䲜
䵞	䵞
齔	齓齔
龀	龀
羗	嗴溬獇羗
僰	僰
兕	兕
㘦	㘦
刕	刕
釛	釛
亳	亳
喦	喦澏
圉	㒁圉
夨	夨捑
夰	㚏夰奡(𣽀)昦
夲	㤒䱁夲
夵	夵
奤	奤
奭	奭襫
贔	奰贔
赑	赑
奻	奻
㟀	㟀
嬲	嬲
嫐	嫐
嬽	嬽
峚	峚
䠳	䠳
䠶	䠶
尐	尐
尢	尢
尣	尣
䰁	䰁
卺	卺
巹	巹
帇	帇
弜	弜
斝	䑝斚斝
昶	㫤昶
暹	暹
㳫	㳫
朏	昢朏
杲	杲菒
欻	㗵欻
氒	氒
炅	昋炅煚
焸	焸
燊	㰑燊
爨	㸑爨
牖	牖牗
玊	玊
甡	甡
甤	甤蕤
甽	甽
疢	疢
皛	㵿皛藠
盩	盩
盭	盭
睰	睰
矨	矨
砅	砅
籴	籴
粜	粜
聅	聅
劓	劓
臸	臸
舝	舝
芇	芇
芟	芟
蓏	蓏
䥢	䥢
㚘	㚘
乿	乿
㱚	㱚
㹜	㹜犾
䩻	䩻
觕	觕
㐰	㐰
仝	仝
䲴	䲴
佨	佨
㝊	㝊
珡	珡
琹	琹
釠	釠
㰻	㰻
㐂	㐂
斈	斈
㝕	㝕
尟	尟
赻	赻
㞤	㞤
㞥	㞥
碞	碞
秊	䄭䄵秊
覍	㝸覍
䨮	䨮
䬌	䬌
淲	淲
颩	颩
㤫	㤫
眘	傄昚眘
朢	朢
枿	枿
㮆	㮆
螙	螙
汓	汓
囦	囦
湌	湌
犇	犇
筭	筭
竵	竵
羴	羴羼
肎	肎
叒	叒
蕆	蕆
蒇	蒇
虢	㶁虢
虣	虣
虤	虤
䖵	䖵
蚝	蚝
蠲	蠲
褎	褎
卥	卥
覀	覀
